Tm,Tr,Tc,test#1,test#2,test#3,test#4,test#5,test#6,test#7,test#8,test#9,test#10,MIN Kernel Time,GFLOPS
16,9,15,273.449,260.219,259.876,260.635,260.077,260.306,273.17,263.494,262.725,262.841,259.876,0.5164683464421493
16,9,16,160.234,145.806,148.314,148.122,147.382,147.82,146.917,153.69,152.658,153.685,145.806,0.9205226671056059
16,10,4,186.604,172.067,171.761,172.008,181.221,172.324,185.9,181.55,173.476,172.104,171.761,0.7814214402571014
16,10,5,219.045,208.618,208.196,208.351,208.283,215.744,209.919,210.684,211.012,209.724,208.196,0.644670060904148
16,10,6,196.063,184.42,184.313,184.692,184.174,183.995,184.295,184.164,184.242,184.533,183.995,0.7294639963042474
16,10,7,225.218,219.451,212.535,212.288,212.032,218.919,212.419,212.574,212.374,212.797,212.032,0.6330069423483248
16,10,8,171.254,187.729,169.155,169.29,169.586,169.382,168.852,169.504,181.664,180.814,168.852,0.7948838509463909
16,10,9,190.104,181.004,182.345,181.83,181.64,180.852,180.619,182.092,181.4,180.255,180.255,0.7445991955840338
16,10,10,206.909,200.472,200.752,200.365,198.557,201.611,198.553,202.286,199.431,199.31,198.553,0.6759793506016025
16,10,11,225.517,217.163,218.687,217.894,218.863,218.946,216.99,217.189,218.386,217.642,216.99,0.6185433798792571
16,10,12,246.682,233.956,234.309,233.852,234.14,244.139,233.845,233.695,241.245,233.6,233.6,0.5745621917808219
16,10,13,261.987,259.789,252.261,278.962,265.391,253.211,252.975,252.799,253.226,252.636,252.261,0.5320589706692671
16,10,14,282.164,278.192,270.437,271.128,273.071,280.551,270.424,270.101,270.475,270.33,270.101,0.49691681259973125
16,10,15,299.611,288.968,288.354,288.656,288.716,288.808,288.793,288.767,288.599,288.887,288.354,0.4654616478356465
16,10,16,177.512,162.846,161.532,162.092,169.985,161.661,168.872,161.544,172.444,163.97,161.532,0.8309048857192383
16,11,4,200.114,195.77,188.587,188.577,188.497,188.244,188.545,188.569,188.499,188.565,188.244,0.7129987038099488
16,11,5,240.004,235.864,229.0,236.126,229.235,229.305,229.121,228.78,229.129,228.914,228.78,0.5866672261561324
16,11,6,212.524,210.475,202.296,205.067,214.389,213.949,203.201,203.032,202.836,202.41,202.296,0.6634719816506505
16,11,7,244.021,240.96,233.049,241.201,243.316,240.447,233.54,232.662,233.446,236.555,232.662,0.5768785964188393
16,11,8,186.709,176.244,182.593,176.257,177.319,175.706,175.755,176.01,188.346,176.128,175.706,0.7638767486596929
16,11,9,208.919,196.369,209.156,203.006,196.558,196.196,197.715,196.062,196.791,196.454,196.062,0.6845677795799288
16,11,10,229.566,224.555,216.768,240.074,229.222,216.321,224.344,223.23,215.797,216.611,215.797,0.6219629003183548
16,11,11,247.535,236.521,236.349,236.357,236.529,243.675,236.481,236.452,242.615,236.547,236.349,0.5678793986858418
16,11,12,267.288,256.92,264.004,263.289,264.959,256.749,256.709,256.711,256.763,256.987,256.709,0.5228399783412345
16,11,13,290.149,276.982,284.121,285.342,276.946,276.633,276.996,276.953,276.586,277.019,276.586,0.4852658052106759
16,11,14,308.374,309.436,297.097,305.323,297.588,308.819,297.051,321.043,298.384,298.629,297.051,0.45183395443880003
16,11,15,347.484,336.304,346.344,334.728,325.743,321.289,320.884,319.6,320.576,319.194,319.194,0.4204895079481443
16,11,16,190.947,181.269,181.201,180.364,180.631,182.115,181.541,181.18,188.92,190.66,180.364,0.744149209376594
16,12,4,216.598,205.633,205.444,205.195,205.571,205.573,205.644,205.816,205.585,213.025,205.195,0.65409843319769
16,12,5,262.382,249.926,249.751,249.801,249.597,261.503,256.917,249.8,251.366,257.285,249.597,0.5377377452453355
16,12,6,233.998,220.646,220.815,244.738,221.339,221.637,221.543,221.338,221.405,222.061,220.646,0.6082944082376295
